Season,Competition,Matchday,Date,Venue,Club,Opponent,Result,Playing_Position,Minute,At_score,Type,Goal_assist
15/16,LaLiga,19,1/9/16,H,FC Barcelona,Granada CF,4:0,RW ,8,1:0,Left-footed shot,Arda Turan
15/16,LaLiga,19,1/9/16,H,FC Barcelona,Granada CF,4:0,RW ,14,2:0,Left-footed shot,Luis Suarez
15/16,LaLiga,19,1/9/16,H,FC Barcelona,Granada CF,4:0,RW ,58,3:0,Tap-in,
15/16,LaLiga,20,1/17/16,H,FC Barcelona,Athletic Bilbao,6:0,RW,7,1:0,Penalty,
15/16,LaLiga,21,1/23/16,A,FC Barcelona,Malaga CF,1:2,RW,51,1:2,Left-footed shot,Adriano
15/16,LaLiga,22,1/30/16,H,FC Barcelona,Atletico de Madrid,2:1,RW,30,1:1,Left-footed shot,Jordi Alba
15/16,Copa del Rey,Semi-Finals,2/3/16,H,FC Barcelona,Valencia CF,7:0,RW,29,3:0,Left-footed shot,Neymar
15/16,Copa del Rey,Semi-Finals,2/3/16,H,FC Barcelona,Valencia CF,7:0,RW,59,4:0,Left-footed shot,Luis Suarez
15/16,Copa del Rey,Semi-Finals,2/3/16,H,FC Barcelona,Valencia CF,7:0,RW,74,5:0,Left-footed shot,
15/16,LaLiga,24,2/14/16,H,FC Barcelona,Celta de Vigo,6:1,RW,28,1:0,Direct free kick,
15/16,LaLiga,16,2/17/16,A,FC Barcelona,Sporting GijÃ³n,1:3,RW ,25,0:1,Left-footed shot,Luis Suarez
15/16,LaLiga,16,2/17/16,A,FC Barcelona,Sporting GijÃ³n,1:3,RW ,31,1:2,Left-footed shot,Luis Suarez
15/16,UEFA Champions League,last 16,2/23/16,A,FC Barcelona,Arsenal FC,0:2,RW,71,0:1,Left-footed shot,Neymar
15/16,UEFA Champions League,last 16,2/23/16,A,FC Barcelona,Arsenal FC,0:2,RW,83,0:2,Penalty,
15/16,LaLiga,26,2/28/16,H,FC Barcelona,Sevilla FC,2:1,RW ,31,1:1,Direct free kick,
15/16,LaLiga,27,3/3/16,A,FC Barcelona,Rayo Vallecano,1:5,RW,23,0:2,Left-footed shot,Neymar
15/16,LaLiga,27,3/3/16,A,FC Barcelona,Rayo Vallecano,1:5,RW,53,0:3,Left-footed shot,
15/16,LaLiga,27,3/3/16,A,FC Barcelona,Rayo Vallecano,1:5,RW,72,1:4,Left-footed shot,Sergio Busquets
15/16,LaLiga,28,3/6/16,A,FC Barcelona,SD Eibar,0:4,RW ,42,0:2,Left-footed shot,Munir El Haddadi
15/16,LaLiga,28,3/6/16,A,FC Barcelona,SD Eibar,0:4,RW ,76,0:3,Penalty,
15/16,LaLiga,29,3/12/16,H,FC Barcelona,Getafe CF,6:0,CF,41,4:0,Left-footed shot,Arda Turan
15/16,UEFA Champions League,last 16,3/16/16,H,FC Barcelona,Arsenal FC,3:1,RW,86,3:1,Left-footed shot,Neymar
15/16,LaLiga,33,4/17/16,H,FC Barcelona,Valencia CF,1:2,RW,63,1:2,Left-footed shot,Jordi Alba
15/16,LaLiga,34,4/20/16,A,FC Barcelona,Deportivo de La Coruaa,0:8,RW,73,0:6,Left-footed shot,Luis Suarez
15/16,LaLiga,35,4/23/16,H,FC Barcelona,Sporting GijÃ³n,6:0,RW,13,1:0,Header,
15/16,LaLiga,37,5/8/16,H,FC Barcelona,RCD Espanyol Barcelona,5:0,RW,8,1:0,Direct free kick,
16/17,Supercopa,final,8/17/16,H,FC Barcelona,Sevilla FC,3:0,RW ,55,3:0,Header,Lucas Digne
16/17,LaLiga,1,8/20/16,H,FC Barcelona,Real Betis Balompie,6:2,RW ,37,2:1,Left-footed shot,Sergi Roberto
16/17,LaLiga,1,8/20/16,H,FC Barcelona,Real Betis Balompie,6:2,RW ,58,5:1,Left-footed shot,Arda Turan
16/17,UEFA Champions League,Group Stage,9/13/16,H,FC Barcelona,Celtic FC,7:0,RW ,3,1:0,Left-footed shot,Neymar
16/17,UEFA Champions League,Group Stage,9/13/16,H,FC Barcelona,Celtic FC,7:0,RW ,27,2:0,Left-footed shot,Neymar
16/17,UEFA Champions League,Group Stage,9/13/16,H,FC Barcelona,Celtic FC,7:0,RW ,60,5:0,Left-footed shot,Luis Suarez
16/17,LaLiga,4,9/17/16,A,FC Barcelona,CD Leganes,1:5,RW,15,0:1,Left-footed shot,Luis Suarez
16/17,LaLiga,4,9/17/16,A,FC Barcelona,CD Leganes,1:5,RW,55,0:4,Penalty,
16/17,LaLiga,8,10/15/16,H,FC Barcelona,Deportivo de La Coruaa,4:0,RW,58,4:0,Left-footed shot,Neymar
16/17,UEFA Champions League,Group Stage,10/19/16,H,FC Barcelona,Manchester City,4:0,RW,17,1:0,Left-footed shot,Andres Iniesta
16/17,UEFA Champions League,Group Stage,10/19/16,H,FC Barcelona,Manchester City,4:0,RW,61,2:0,Left-footed shot,Andres Iniesta
16/17,UEFA Champions League,Group Stage,10/19/16,H,FC Barcelona,Manchester City,4:0,RW,69,3:0,Left-footed shot,Luis Suarez
16/17,LaLiga,9,10/22/16,A,FC Barcelona,Valencia CF,2:3,RW,22,0:1,Left-footed shot,Ivan Rakitic
16/17,LaLiga,9,10/22/16,A,FC Barcelona,Valencia CF,2:3,RW,90+4,2:3,Penalty,
16/17,UEFA Champions League,Group Stage,11/1/16,A,FC Barcelona,Manchester City,3:1,RW ,21,0:1,Left-footed shot,Neymar
16/17,LaLiga,11,11/6/16,A,FC Barcelona,Sevilla FC,1:2,RW ,43,1:1,Left-footed shot,Neymar
16/17,UEFA Champions League,Group Stage,11/23/16,A,FC Barcelona,Celtic FC,0:2,RW ,24,0:1,Left-footed shot,Neymar
16/17,UEFA Champions League,Group Stage,11/23/16,A,FC Barcelona,Celtic FC,0:2,RW ,55,0:2,Penalty,
16/17,LaLiga,13,11/27/16,A,FC Barcelona,Real Sociedad,1:1,RW ,59,1:1,Left-footed shot,Neymar
16/17,UEFA Champions League,Group Stage,12/6/16,H,FC Barcelona,Borussia MÃ¶nchengladbach,4:0,RW,16,1:0,Left-footed shot,Arda Turan
16/17,LaLiga,15,12/10/16,A,FC Barcelona,CA Osasuna,0:3,RW,72,0:2,Left-footed shot,Jordi Alba
16/17,LaLiga,15,12/10/16,A,FC Barcelona,CA Osasuna,0:3,RW,90+2,0:3,Left-footed shot,Sergio Busquets
16/17,LaLiga,16,12/18/16,H,FC Barcelona,RCD Espanyol Barcelona,4:1,RW,90,4:1,Left-footed shot,Luis Suarez
16/17,Copa del Rey,last 16,1/5/17,A,FC Barcelona,Athletic Bilbao,2:1,RW,52,2:1,Direct free kick,
16/17,LaLiga,17,1/8/17,A,FC Barcelona,Villarreal CF,1:1,RW,90,1:1,Direct free kick,
16/17,Copa del Rey,last 16,1/11/17,H,FC Barcelona,Athletic Bilbao,3:1,RW,78,3:1,Direct free kick,
16/17,LaLiga,18,1/14/17,H,FC Barcelona,UD Las Palmas,5:0,RW ,52,2:0,Right-footed shot,
16/17,LaLiga,19,1/22/17,A,FC Barcelona,SD Eibar,0:4,RW ,50,0:2,Left-footed shot,Luis Suarez
16/17,Copa del Rey,Quarter-Finals,1/26/17,H,FC Barcelona,Real Sociedad,5:2,RW ,55,2:0,Penalty,
16/17,Copa del Rey,Semi-Finals,2/1/17,A,FC Barcelona,Atletico de Madrid,1:2,RW ,33,0:2,Left-footed shot,Ivan Rakitic
16/17,LaLiga,21,2/4/17,H,FC Barcelona,Athletic Bilbao,3:0,RW ,40,2:0,Direct free kick,
16/17,LaLiga,22,2/11/17,A,FC Barcelona,Deportivo Alaves,0:6,RW ,59,0:3,Left-footed shot,Neymar
16/17,LaLiga,23,2/19/17,H,FC Barcelona,CD Leganes,2:1,RW,4,1:0,Right-footed shot,Luis Suarez
16/17,LaLiga,23,2/19/17,H,FC Barcelona,CD Leganes,2:1,RW,90,2:1,Penalty,
16/17,LaLiga,24,2/26/17,A,FC Barcelona,Atletico de Madrid,1:2,RW,86,1:2,Left-footed shot,
16/17,LaLiga,25,3/1/17,H,FC Barcelona,Sporting GijÃ³n,6:1,RW ,9,1:0,Header,Javier Mascherano
16/17,LaLiga,26,3/4/17,H,FC Barcelona,Celta de Vigo,5:0,AM ,24,1:0,Left-footed shot,Sergio Busquets
16/17,LaLiga,26,3/4/17,H,FC Barcelona,Celta de Vigo,5:0,AM ,64,5:0,Left-footed shot,
16/17,UEFA Champions League,last 16,3/8/17,H,FC Barcelona,Paris Saint-Germain,6:1,AM,50,3:0,Penalty,
16/17,LaLiga,28,3/19/17,H,FC Barcelona,Valencia CF,4:2,AM,45,2:1,Penalty,
16/17,LaLiga,28,3/19/17,H,FC Barcelona,Valencia CF,4:2,AM,53,3:2,Right-footed shot,Javier Mascherano
16/17,LaLiga,30,4/5/17,H,FC Barcelona,Sevilla FC,3:0,RW,28,2:0,Right-footed shot,Luis Suarez
16/17,LaLiga,30,4/5/17,H,FC Barcelona,Sevilla FC,3:0,RW,33,3:0,Left-footed shot,
16/17,LaLiga,32,4/15/17,H,FC Barcelona,Real Sociedad,3:2,RW ,17,1:0,Left-footed shot,Luis Suarez
16/17,LaLiga,32,4/15/17,H,FC Barcelona,Real Sociedad,3:2,RW ,37,2:0,Tap-in,
16/17,LaLiga,33,4/23/17,A,FC Barcelona,Real Madrid,2:3,RW,33,1:1,Left-footed shot,Ivan Rakitic
16/17,LaLiga,33,4/23/17,A,FC Barcelona,Real Madrid,2:3,RW,90+2,2:3,Left-footed shot,Jordi Alba
16/17,LaLiga,34,4/26/17,H,FC Barcelona,CA Osasuna,7:1,AM ,12,1:0,Left-footed shot,
16/17,LaLiga,34,4/26/17,H,FC Barcelona,CA Osasuna,7:1,AM ,61,4:1,Left-footed shot,Ivan Rakitic
16/17,LaLiga,36,5/6/17,H,FC Barcelona,Villarreal CF,4:1,RW,45,2:1,Left-footed shot,Sergio Busquets
16/17,LaLiga,36,5/6/17,H,FC Barcelona,Villarreal CF,4:1,RW,82,4:1,Penalty,
16/17,LaLiga,38,5/21/17,H,FC Barcelona,SD Eibar,4:2,RW,75,3:2,Penalty,
16/17,LaLiga,38,5/21/17,H,FC Barcelona,SD Eibar,4:2,RW,90+2,4:2,Right-footed shot,
16/17,Copa del Rey,Final,5/27/17,H,FC Barcelona,Deportivo Alaves,3:1,RW,30,1:0,Left-footed shot,Neymar
17/18,Supercopa,final,8/13/17,H,FC Barcelona,Real Madrid,1:3,RW,77,1:1,Penalty,
17/18,LaLiga,2,8/26/17,A,FC Barcelona,Deportivo Alaves,0:2,CF,55,0:1,Left-footed shot,Jordi Alba
17/18,LaLiga,2,8/26/17,A,FC Barcelona,Deportivo Alaves,0:2,CF,66,0:2,Left-footed shot,Paco Alcacer
17/18,LaLiga,3,9/9/17,H,FC Barcelona,RCD Espanyol Barcelona,5:0,CF,26,1:0,Left-footed shot,Ivan Rakitic
17/18,LaLiga,3,9/9/17,H,FC Barcelona,RCD Espanyol Barcelona,5:0,CF,35,2:0,Right-footed shot,Jordi Alba
17/18,LaLiga,3,9/9/17,H,FC Barcelona,RCD Espanyol Barcelona,5:0,CF,67,3:0,Left-footed shot,Jordi Alba
17/18,UEFA Champions League,Group Stage,9/12/17,H,FC Barcelona,Juventus FC,3:0,CF,45,1:0,Left-footed shot,Luis Suarez
17/18,UEFA Champions League,Group Stage,9/12/17,H,FC Barcelona,Juventus FC,3:0,CF,69,3:0,Left-footed shot,
17/18,LaLiga,5,9/19/17,H,FC Barcelona,SD Eibar,6:1,CF,21,1:0,Penalty,
17/18,LaLiga,5,9/19/17,H,FC Barcelona,SD Eibar,6:1,CF,59,4:1,Left-footed shot,Sergio Busquets
17/18,LaLiga,5,9/19/17,H,FC Barcelona,SD Eibar,6:1,CF,62,5:1,Left-footed shot,Paulinho
17/18,LaLiga,5,9/19/17,H,FC Barcelona,SD Eibar,6:1,CF,87,6:1,Left-footed shot,Aleix Vidal
17/18,LaLiga,7,10/1/17,H,FC Barcelona,UD Las Palmas,3:0,SS,70,2:0,Left-footed shot,Denis Suarez
17/18,LaLiga,7,10/1/17,H,FC Barcelona,UD Las Palmas,3:0,SS,77,3:0,Left-footed shot,Luis Suarez
17/18,UEFA Champions League,Group Stage,10/18/17,H,FC Barcelona,Olympiacos Piraeus,3:1,CF,61,2:0,Direct free kick,
17/18,LaLiga,10,10/28/17,A,FC Barcelona,Athletic Bilbao,0:2,SS ,37,0:1,Left-footed shot,Jordi Alba
17/18,LaLiga,14,12/2/17,H,FC Barcelona,Celta de Vigo,2:2,SS,22,1:1,Left-footed shot,Paulinho
17/18,LaLiga,15,12/10/17,A,FC Barcelona,Villarreal CF,0:2,RW ,83,0:2,Left-footed shot,Sergio Busquets
17/18,LaLiga,17,12/23/17,A,FC Barcelona,Real Madrid,0:3,SS,64,0:2,Penalty,
17/18,LaLiga,18,1/7/18,H,FC Barcelona,Levante UD,3:0,SS,12,1:0,Left-footed shot,Jordi Alba
17/18,Copa del Rey,last 16,1/11/18,H,FC Barcelona,Celta de Vigo,5:0,SS,13,1:0,Left-footed shot,Jordi Alba
17/18,Copa del Rey,last 16,1/11/18,H,FC Barcelona,Celta de Vigo,5:0,SS,15,2:0,Left-footed shot,Jordi Alba
17/18,LaLiga,19,1/14/18,A,FC Barcelona,Real Sociedad,2:4,SS ,85,2:4,Direct free kick,
17/18,LaLiga,20,1/21/18,A,FC Barcelona,Real Betis Balompie,0:5,SS ,64,0:2,Left-footed shot,Sergio Busquets
17/18,LaLiga,20,1/21/18,A,FC Barcelona,Real Betis Balompie,0:5,SS ,80,0:4,Left-footed shot,Luis Suarez
17/18,Copa del Rey,Quarter-Finals,1/25/18,H,FC Barcelona,RCD Espanyol Barcelona,2:0,SS,25,2:0,Deflected shot on goal,
17/18,LaLiga,21,1/28/18,H,FC Barcelona,Deportivo Alaves,2:1,SS,84,2:1,Direct free kick,
17/18,UEFA Champions League,last 16,2/20/18,A,FC Barcelona,Chelsea FC,1:1,SS,75,1:1,Left-footed shot,Andres Iniesta
17/18,LaLiga,25,2/24/18,H,FC Barcelona,Girona FC,6:1,SS ,30,2:1,Left-footed shot,Luis Suarez
17/18,LaLiga,25,2/24/18,H,FC Barcelona,Girona FC,6:1,SS ,36,3:1,Direct free kick,
17/18,LaLiga,26,3/1/18,A,FC Barcelona,UD Las Palmas,1:1,SS,21,0:1,Direct free kick,
17/18,LaLiga,27,3/4/18,H,FC Barcelona,Atletico de Madrid,1:0,SS,26,1:0,Direct free kick,
17/18,UEFA Champions League,last 16,3/14/18,H,FC Barcelona,Chelsea FC,3:0,SS,3,1:0,Right-footed shot,Luis Suarez
17/18,UEFA Champions League,last 16,3/14/18,H,FC Barcelona,Chelsea FC,3:0,SS,63,3:0,Left-footed shot,Luis Suarez
17/18,LaLiga,29,3/18/18,H,FC Barcelona,Athletic Bilbao,2:0,SS ,30,2:0,Left-footed shot,Ousmane Dembele
17/18,LaLiga,30,3/31/18,A,FC Barcelona,Sevilla FC,2:2,RW,89,2:2,Left-footed shot,Philippe Coutinho
17/18,LaLiga,31,4/7/18,H,FC Barcelona,CD Leganes,3:1,SS ,27,1:0,Direct free kick,
17/18,LaLiga,31,4/7/18,H,FC Barcelona,CD Leganes,3:1,SS ,32,2:0,Left-footed shot,Philippe Coutinho
17/18,LaLiga,31,4/7/18,H,FC Barcelona,CD Leganes,3:1,SS ,87,3:1,Left-footed shot,Ousmane Dembele
17/18,Copa del Rey,Final,4/21/18,A,FC Barcelona,Sevilla FC,0:5,SS,31,0:2,Left-footed shot,Jordi Alba
17/18,LaLiga,35,4/29/18,A,FC Barcelona,Deportivo de La Coruaa,2:4,CF ,38,0:2,Left-footed shot,Luis Suarez
17/18,LaLiga,35,4/29/18,A,FC Barcelona,Deportivo de La Coruaa,2:4,CF ,82,2:3,Right-footed shot,Luis Suarez
17/18,LaLiga,35,4/29/18,A,FC Barcelona,Deportivo de La Coruaa,2:4,CF ,85,2:4,Left-footed shot,Luis Suarez
17/18,LaLiga,36,5/6/18,H,FC Barcelona,Real Madrid,2:2,SS,52,2:1,Left-footed shot,Luis Suarez
17/18,LaLiga,34,5/9/18,H,FC Barcelona,Villarreal CF,5:1,CF,45,3:0,Left-footed shot,Andres Iniesta
18/19,LaLiga,1,8/18/18,H,FC Barcelona,Deportivo Alaves,3:0,RW ,64,1:0,Direct free kick,
18/19,LaLiga,1,8/18/18,H,FC Barcelona,Deportivo Alaves,3:0,RW ,90+2,3:0,Left-footed shot,Luis Suarez
18/19,LaLiga,3,9/2/18,H,FC Barcelona,SD Huesca,8:2,RW ,16,1:1,Right-footed shot,Ivan Rakitic
18/19,LaLiga,3,9/2/18,H,FC Barcelona,SD Huesca,8:2,RW ,61,6:2,Left-footed shot,Philippe Coutinho
18/19,UEFA Champions League,Group Stage,9/18/18,H,FC Barcelona,PSV Eindhoven,4:0,RW ,31,1:0,Direct free kick,
18/19,UEFA Champions League,Group Stage,9/18/18,H,FC Barcelona,PSV Eindhoven,4:0,RW ,77,3:0,Left-footed shot,Ivan Rakitic
18/19,UEFA Champions League,Group Stage,9/18/18,H,FC Barcelona,PSV Eindhoven,4:0,RW ,87,4:0,Right-footed shot,Luis Suarez
18/19,LaLiga,5,9/23/18,H,FC Barcelona,Girona FC,2:2,RW ,19,1:0,Left-footed shot,Arturo Vidal
18/19,UEFA Champions League,Group Stage,10/3/18,A,FC Barcelona,Tottenham Hotspur,2:4,RW ,56,1:3,Left-footed shot,Jordi Alba
18/19,UEFA Champions League,Group Stage,10/3/18,A,FC Barcelona,Tottenham Hotspur,2:4,RW ,90,2:4,Left-footed shot,Jordi Alba
18/19,LaLiga,8,10/7/18,A,FC Barcelona,Valencia CF,1:1,RW ,23,1:1,Left-footed shot,Luis Suarez
18/19,LaLiga,9,10/20/18,H,FC Barcelona,Sevilla FC,4:2,RW ,12,2:0,Left-footed shot,Luis Suarez
18/19,LaLiga,12,11/11/18,H,FC Barcelona,Real Betis Balompie,3:4,SS ,68,1:2,Penalty,
18/19,LaLiga,12,11/11/18,H,FC Barcelona,Real Betis Balompie,3:4,SS ,90+4,3:4,Left-footed shot,Arturo Vidal
18/19,UEFA Champions League,Group Stage,11/28/18,A,FC Barcelona,PSV Eindhoven,1:2,CF ,61,0:1,Left-footed shot,Ousmane Dembele
18/19,LaLiga,15,12/8/18,A,FC Barcelona,RCD Espanyol Barcelona,0:4,RW ,17,0:1,Direct free kick,
18/19,LaLiga,15,12/8/18,A,FC Barcelona,RCD Espanyol Barcelona,0:4,RW ,65,0:4,Direct free kick,
18/19,LaLiga,16,12/16/18,A,FC Barcelona,Levante UD,0:5,SS ,43,0:2,Right-footed shot,Sergio Busquets
18/19,LaLiga,16,12/16/18,A,FC Barcelona,Levante UD,0:5,SS ,47,0:3,Left-footed shot,
18/19,LaLiga,16,12/16/18,A,FC Barcelona,Levante UD,0:5,SS ,60,0:4,Left-footed shot,Arturo Vidal
18/19,LaLiga,17,12/22/18,H,FC Barcelona,Celta de Vigo,2:0,RW ,45,2:0,Left-footed shot,Jordi Alba
18/19,LaLiga,18,1/6/19,A,FC Barcelona,Getafe CF,1:2,RW ,20,0:1,Left-footed shot,
18/19,LaLiga,19,1/13/19,H,FC Barcelona,SD Eibar,3:0,RW ,53,2:0,Left-footed shot,Luis Suarez
18/19,Copa del Rey,last 16,1/17/19,H,FC Barcelona,Levante UD,3:0,CF ,54,3:0,Left-footed shot,Nelson Semedo
18/19,LaLiga,20,1/20/19,H,FC Barcelona,CD Leganes,3:1,SS,90+2,3:1,Right-footed shot,Jordi Alba
18/19,LaLiga,21,1/27/19,A,FC Barcelona,Girona FC,0:2,RW ,69,0:2,Left-footed shot,Jordi Alba
18/19,Copa del Rey,Quarter-Finals,1/30/19,H,FC Barcelona,Sevilla FC,6:1,RW ,90+2,6:1,Left-footed shot,Jordi Alba
18/19,LaLiga,22,2/2/19,H,FC Barcelona,Valencia CF,2:2,RW ,39,1:2,Penalty,
18/19,LaLiga,22,2/2/19,H,FC Barcelona,Valencia CF,2:2,RW ,64,2:2,Left-footed shot,Arturo Vidal
18/19,LaLiga,24,2/16/19,H,FC Barcelona,Real Valladolid CF,1:0,RW ,43,1:0,Penalty,
18/19,LaLiga,25,2/23/19,A,FC Barcelona,Sevilla FC,2:4,RW ,26,1:1,Left-footed shot,Ivan Rakitic
18/19,LaLiga,25,2/23/19,A,FC Barcelona,Sevilla FC,2:4,RW ,67,2:2,Right-footed shot,Ousmane Dembele
18/19,LaLiga,25,2/23/19,A,FC Barcelona,Sevilla FC,2:4,RW ,85,2:3,Left-footed shot,
18/19,LaLiga,27,3/9/19,H,FC Barcelona,Rayo Vallecano,3:1,RW ,51,2:1,Penalty,
18/19,UEFA Champions League,last 16,3/13/19,H,FC Barcelona,Olympique Lyon,5:1,RW ,18,1:0,Penalty,
18/19,UEFA Champions League,last 16,3/13/19,H,FC Barcelona,Olympique Lyon,5:1,RW ,78,3:1,Right-footed shot,Sergio Busquets
18/19,LaLiga,28,3/17/19,A,FC Barcelona,Real Betis Balompie,1:4,SS ,18,0:1,Direct free kick,
18/19,LaLiga,28,3/17/19,A,FC Barcelona,Real Betis Balompie,1:4,SS ,45+2,0:2,Left-footed shot,Luis Suarez
18/19,LaLiga,28,3/17/19,A,FC Barcelona,Real Betis Balompie,1:4,SS ,85,1:4,Left-footed shot,Ivan Rakitic
18/19,LaLiga,29,3/30/19,H,FC Barcelona,RCD Espanyol Barcelona,2:0,RW ,71,1:0,Direct free kick,
18/19,LaLiga,29,3/30/19,H,FC Barcelona,RCD Espanyol Barcelona,2:0,RW ,89,2:0,Left-footed shot,Malcom
18/19,LaLiga,30,4/2/19,A,FC Barcelona,Villarreal CF,4:4,RW,90,4:3,Direct free kick,
18/19,LaLiga,31,4/6/19,H,FC Barcelona,Atletico de Madrid,2:0,SS ,87,2:0,Left-footed shot,
18/19,UEFA Champions League,Quarter-Finals,4/16/19,H,FC Barcelona,Manchester United,3:0,RW ,16,1:0,Left-footed shot,
18/19,UEFA Champions League,Quarter-Finals,4/16/19,H,FC Barcelona,Manchester United,3:0,RW ,20,2:0,Right-footed shot,
18/19,LaLiga,35,4/27/19,H,FC Barcelona,Levante UD,1:0,RW,62,1:0,Left-footed shot,Arturo Vidal
18/19,UEFA Champions League,Semi-Finals,5/1/19,H,FC Barcelona,Liverpool FC,3:0,RW ,75,2:0,Left-footed shot,Luis Suarez
18/19,UEFA Champions League,Semi-Finals,5/1/19,H,FC Barcelona,Liverpool FC,3:0,RW ,82,3:0,Direct free kick,
18/19,LaLiga,38,5/19/19,A,FC Barcelona,SD Eibar,2:2,CF ,31,1:1,Left-footed shot,Arturo Vidal
18/19,LaLiga,38,5/19/19,A,FC Barcelona,SD Eibar,2:2,CF ,32,1:2,Left-footed shot,Ivan Rakitic
18/19,Copa del Rey,Final,5/25/19,H,FC Barcelona,Valencia CF,1:2,CF ,73,1:2,Left-footed shot,Clement Lenglet
19/20,LaLiga,8,10/6/19,H,FC Barcelona,Sevilla FC,4:0,RW ,78,4:0,Direct free kick,
19/20,LaLiga,9,10/19/19,A,FC Barcelona,SD Eibar,0:3,RW ,58,0:2,Left-footed shot,Antoine Griezmann
19/20,UEFA Champions League,Group Stage,10/23/19,A,FC Barcelona,SK Slavia Prague,1:2,RW ,3,0:1,Left-footed shot,Arthur
19/20,LaLiga,11,10/29/19,H,FC Barcelona,Real Valladolid CF,5:1,RW ,34,3:1,Direct free kick,
19/20,LaLiga,11,10/29/19,H,FC Barcelona,Real Valladolid CF,5:1,RW ,75,4:1,Left-footed shot,Ivan Rakitic
19/20,LaLiga,12,11/2/19,A,FC Barcelona,Levante UD,3:1,RW ,38,0:1,Penalty,
19/20,LaLiga,13,11/9/19,H,FC Barcelona,Celta de Vigo,4:1,RW ,23,1:0,Penalty,
19/20,LaLiga,13,11/9/19,H,FC Barcelona,Celta de Vigo,4:1,RW ,45+1,2:1,Direct free kick,
19/20,LaLiga,13,11/9/19,H,FC Barcelona,Celta de Vigo,4:1,RW ,48,3:1,Direct free kick,
19/20,UEFA Champions League,Group Stage,11/27/19,H,FC Barcelona,Borussia Dortmund,3:1,RW ,33,2:0,Left-footed shot,Luis Suarez
19/20,LaLiga,15,12/1/19,A,FC Barcelona,Atletico de Madrid,0:1,RW ,86,0:1,Left-footed shot,Luis Suarez
19/20,LaLiga,16,12/7/19,H,FC Barcelona,RCD Mallorca,5:2,RW ,17,2:0,Left-footed shot,Antoine Griezmann
19/20,LaLiga,16,12/7/19,H,FC Barcelona,RCD Mallorca,5:2,RW ,41,3:1,Left-footed shot,Ivan Rakitic
19/20,LaLiga,16,12/7/19,H,FC Barcelona,RCD Mallorca,5:2,RW ,83,5:2,Left-footed shot,Luis Suarez
19/20,LaLiga,18,12/21/19,H,FC Barcelona,Deportivo Alaves,4:1,RW ,69,3:1,Left-footed shot,Luis Suarez
19/20,Supercopa,Semi-Finals,1/9/20,H,FC Barcelona,Atletico de Madrid,2:3,RW ,51,1:1,Right-footed shot,Luis Suarez
19/20,LaLiga,20,1/19/20,H,FC Barcelona,Granada CF,1:0,CF ,76,1:0,Right-footed shot,Arturo Vidal
19/20,Copa del Rey,Round of 16,1/30/20,H,FC Barcelona,CD Leganes,5:0,RW ,59,3:0,Left-footed shot,Frenkie de Jong
19/20,Copa del Rey,Round of 16,1/30/20,H,FC Barcelona,CD Leganes,5:0,RW ,89,5:0,Left-footed shot,Ivan Rakitic
19/20,LaLiga,25,2/22/20,H,FC Barcelona,SD Eibar,5:0,SS ,14,1:0,Left-footed shot,Ivan Rakitic
19/20,LaLiga,25,2/22/20,H,FC Barcelona,SD Eibar,5:0,SS ,37,2:0,Left-footed shot,Arturo Vidal
19/20,LaLiga,25,2/22/20,H,FC Barcelona,SD Eibar,5:0,SS ,40,3:0,Left-footed shot,
19/20,LaLiga,25,2/22/20,H,FC Barcelona,SD Eibar,5:0,SS ,87,4:0,Left-footed shot,
19/20,LaLiga,27,3/7/20,H,FC Barcelona,Real Sociedad,1:0,CF ,81,1:0,Penalty,
19/20,LaLiga,28,6/13/20,A,FC Barcelona,RCD Mallorca,0:4,RW ,90+3,0:4,Right-footed shot,Luis Suarez
19/20,LaLiga,29,6/16/20,H,FC Barcelona,CD Leganes,2:0,RW ,69,2:0,Penalty,
19/20,LaLiga,33,6/30/20,H,FC Barcelona,Atletico de Madrid,2:2,SS ,50,2:1,Penalty,
19/20,LaLiga,37,7/16/20,H,FC Barcelona,CA Osasuna,1:2,RW ,62,1:1,Direct free kick,
19/20,LaLiga,38,7/19/20,A,FC Barcelona,Deportivo Alaves,0:5,RW ,34,0:2,Left-footed shot,Riqui Puig
19/20,LaLiga,38,7/19/20,A,FC Barcelona,Deportivo Alaves,0:5,RW ,75,0:5,Left-footed shot,Jordi Alba
19/20,UEFA Champions League,last 16,8/8/20,H,FC Barcelona,SSC Napoli,3:1,SS ,23,2:0,Left-footed shot,
20/21,LaLiga,3,9/27/20,H,FC Barcelona,Villarreal CF,4:0,CF ,35,3:0,Penalty,
20/21,UEFA Champions League,Group Stage,10/20/20,H,FC Barcelona,Ferencvarosi TC,5:1,CF ,27,1:0,Penalty,
20/21,UEFA Champions League,Group Stage,10/28/20,A,FC Barcelona,Juventus FC,0:2,CF ,90+1,0:2,Penalty,
20/21,UEFA Champions League,Group Stage,11/4/20,H,FC Barcelona,Dynamo Kyiv,2:1,RW ,5,1:0,Penalty,
20/21,LaLiga,9,11/7/20,H,FC Barcelona,Real Betis Balompie,5:2,CF,61,3:1,Penalty,
20/21,LaLiga,9,11/7/20,H,FC Barcelona,Real Betis Balompie,5:2,CF,82,4:2,Left-footed shot,Sergi Roberto
20/21,LaLiga,11,11/29/20,H,FC Barcelona,CA Osasuna,4:0,RW ,73,4:0,Left-footed shot,Francisco TrincÃ£o
