Season,Competition,Matchday,Date,Venue,Club,Opponent,Result,Playing_Position,Minute,At_score,Type,Goal_assist
09/10,LaLiga,21,2/6/10,H,FC Barcelona,Getafe CF,2:1,RW,7,1:0,Left-footed shot,Yaya Toure
09/10,LaLiga,24,2/27/10,H,FC Barcelona,Malaga CF,2:1,RW,84,2:1,Right-footed shot,Dani Alves
09/10,LaLiga,25,3/6/10,A,FC Barcelona,UD Almera,2:2,RW,42,1:1,Direct free kick,
09/10,LaLiga,25,3/6/10,A,FC Barcelona,UD Almera,2:2,RW,66,2:2,Left-footed shot,
09/10,LaLiga,26,3/14/10,H,FC Barcelona,Valencia CF,3:0,CF,56,1:0,Left-footed shot,Xavi
09/10,LaLiga,26,3/14/10,H,FC Barcelona,Valencia CF,3:0,CF,80,2:0,Left-footed shot,Thierry Henry
09/10,LaLiga,26,3/14/10,H,FC Barcelona,Valencia CF,3:0,CF,82,3:0,Right-footed shot,Thierry Henry
09/10,UEFA Champions League,last 16,3/17/10,H,FC Barcelona,VfB Stuttgart,4:0,CF,13,1:0,Left-footed shot,Yaya Toure
09/10,UEFA Champions League,last 16,3/17/10,H,FC Barcelona,VfB Stuttgart,4:0,CF,56,3:0,Left-footed shot,Dani Alves
09/10,LaLiga,27,3/21/10,A,FC Barcelona,Real Zaragoza,2:4,RW,4,0:1,Header,Pedro
09/10,LaLiga,27,3/21/10,A,FC Barcelona,Real Zaragoza,2:4,RW,65,0:2,Left-footed shot,
09/10,LaLiga,27,3/21/10,A,FC Barcelona,Real Zaragoza,2:4,RW,78,0:3,Left-footed shot,Andres Iniesta
09/10,LaLiga,30,4/3/10,H,FC Barcelona,Athletic Bilbao,4:1,CF,67,4:0,Left-footed shot,Pedro
09/10,UEFA Champions League,Quarter-Finals,4/6/10,H,FC Barcelona,Arsenal FC,4:1,CF,21,1:1,Left-footed shot,
09/10,UEFA Champions League,Quarter-Finals,4/6/10,H,FC Barcelona,Arsenal FC,4:1,CF,37,2:1,Right-footed shot,Pedro
09/10,UEFA Champions League,Quarter-Finals,4/6/10,H,FC Barcelona,Arsenal FC,4:1,CF,42,3:1,Left-footed shot,Seydou Keita
09/10,UEFA Champions League,Quarter-Finals,4/6/10,H,FC Barcelona,Arsenal FC,4:1,CF,88,4:1,Left-footed shot,Xavi
09/10,LaLiga,31,4/10/10,A,FC Barcelona,Real Madrid,0:2,CF,32,0:1,Right-footed shot,Xavi
09/10,LaLiga,35,5/1/10,A,FC Barcelona,Villarreal CF,1:4,RW,18,0:1,Left-footed shot,Xavi
09/10,LaLiga,35,5/1/10,A,FC Barcelona,Villarreal CF,1:4,RW,87,1:4,Left-footed shot,Dani Alves
09/10,LaLiga,36,5/4/10,H,FC Barcelona,CD Tenerife,4:1,RW,16,1:0,Right-footed shot,Zlatan Ibrahimovic
09/10,LaLiga,36,5/4/10,H,FC Barcelona,CD Tenerife,4:1,RW,90+3,4:1,Right-footed shot,Dani Alves
